"Variable","Label"
"hv118_07","eligibility for male interview"
"hv118_08","eligibility for male interview"
"hv118_09","eligibility for male interview"
"hv118_10","eligibility for male interview"
"hv118_11","eligibility for male interview"
"hv118_12","eligibility for male interview"
"hv118_13","eligibility for male interview"
"hv118_14","eligibility for male interview"
"hv118_15","eligibility for male interview"
"hv118_16","eligibility for male interview"
"hv118_17","eligibility for male interview"
"hv118_18","eligibility for male interview"
"hv118_19","eligibility for male interview"
"hv118_20","eligibility for male interview"
"hv118_21","eligibility for male interview"
"hv118_22","eligibility for male interview"
"hv118_23","eligibility for male interview"
"hv118_24","eligibility for male interview"
"hv118_25","eligibility for male interview"
"hv118_26","eligibility for male interview"
"hv118_27","eligibility for male interview"
"hv118_28","eligibility for male interview"
"hv118_29","eligibility for male interview"
"hv118_30","eligibility for male interview"
"hv118_31","eligibility for male interview"
"hv118_32","eligibility for male interview"
"hv118_33","eligibility for male interview"
"hv118_34","eligibility for male interview"
"hv118_35","eligibility for male interview"
"hv118_36","eligibility for male interview"
"hv118_37","eligibility for male interview"
"hv118_38","eligibility for male interview"
"hv118_39","eligibility for male interview"
"hv118_40","eligibility for male interview"
"hv118_41","eligibility for male interview"
"hv118_42","eligibility for male interview"
"hv118_43","eligibility for male interview"
"hv118_44","eligibility for male interview"
"hv118_45","eligibility for male interview"
"hv118_46","eligibility for male interview"
"hv118_47","eligibility for male interview"
"hv118_48","eligibility for male interview"
"hv118_49","eligibility for male interview"
"hv118_50","eligibility for male interview"
"hv118_51","eligibility for male interview"
"hv118_52","eligibility for male interview"
"hv118_53","eligibility for male interview"
"hv118_54","eligibility for male interview"
"hv118_55","eligibility for male interview"
"hv118_56","eligibility for male interview"
"hv118_57","eligibility for male interview"
"hv118_58","eligibility for male interview"
"hv118_59","eligibility for male interview"
"hv118_60","eligibility for male interview"
"hv118_61","eligibility for male interview"
"hv118_62","eligibility for male interview"
"hv118_63","eligibility for male interview"
"hv118_64","eligibility for male interview"
"hv118_65","eligibility for male interview"
"hv118_66","eligibility for male interview"
"hv118_67","eligibility for male interview"
"hv118_68","eligibility for male interview"
"hv118_69","eligibility for male interview"
"hv118_70","eligibility for male interview"
"hv118_71","eligibility for male interview"
"hv118_72","eligibility for male interview"
"hv118_73","eligibility for male interview"
"hv118_74","eligibility for male interview"
"hv118_75","eligibility for male interview"
"hv118_76","eligibility for male interview"
"hv118_77","eligibility for male interview"
"hv118_78","eligibility for male interview"
"hv118_79","eligibility for male interview"
"hv118_80","eligibility for male interview"
"hv118_81","eligibility for male interview"
"hv118_82","eligibility for male interview"
"hv118_83","eligibility for male interview"
"hv118_84","eligibility for male interview"
"hv118_85","eligibility for male interview"
"hv118_86","eligibility for male interview"
"hv118_87","eligibility for male interview"
"hv118_88","eligibility for male interview"
"hv118_89","eligibility for male interview"
"hv118_90","eligibility for male interview"
"hv120_01","children eligibility for height/weight and hemoglobin"
"hv120_02","children eligibility for height/weight and hemoglobin"
"hv120_03","children eligibility for height/weight and hemoglobin"
"hv120_04","children eligibility for height/weight and hemoglobin"
"hv120_05","children eligibility for height/weight and hemoglobin"
"hv120_06","children eligibility for height/weight and hemoglobin"
"hv120_07","children eligibility for height/weight and hemoglobin"
"hv120_08","children eligibility for height/weight and hemoglobin"
"hv120_09","children eligibility for height/weight and hemoglobin"
"hv120_10","children eligibility for height/weight and hemoglobin"
"hv120_11","children eligibility for height/weight and hemoglobin"
"hv120_12","children eligibility for height/weight and hemoglobin"
"hv120_13","children eligibility for height/weight and hemoglobin"
"hv120_14","children eligibility for height/weight and hemoglobin"
"hv120_15","children eligibility for height/weight and hemoglobin"
"hv120_16","children eligibility for height/weight and hemoglobin"
"hv120_17","children eligibility for height/weight and hemoglobin"
"hv120_18","children eligibility for height/weight and hemoglobin"
"hv120_19","children eligibility for height/weight and hemoglobin"
"hv120_20","children eligibility for height/weight and hemoglobin"
"hv120_21","children eligibility for height/weight and hemoglobin"
"hv120_22","children eligibility for height/weight and hemoglobin"
"hv120_23","children eligibility for height/weight and hemoglobin"
"hv120_24","children eligibility for height/weight and hemoglobin"
"hv120_25","children eligibility for height/weight and hemoglobin"
"hv120_26","children eligibility for height/weight and hemoglobin"
"hv120_27","children eligibility for height/weight and hemoglobin"
"hv120_28","children eligibility for height/weight and hemoglobin"
"hv120_29","children eligibility for height/weight and hemoglobin"
"hv120_30","children eligibility for height/weight and hemoglobin"
"hv120_31","children eligibility for height/weight and hemoglobin"
"hv120_32","children eligibility for height/weight and hemoglobin"
"hv120_33","children eligibility for height/weight and hemoglobin"
"hv120_34","children eligibility for height/weight and hemoglobin"
"hv120_35","children eligibility for height/weight and hemoglobin"
"hv120_36","children eligibility for height/weight and hemoglobin"
"hv120_37","children eligibility for height/weight and hemoglobin"
"hv120_38","children eligibility for height/weight and hemoglobin"
"hv120_39","children eligibility for height/weight and hemoglobin"
"hv120_40","children eligibility for height/weight and hemoglobin"
"hv120_41","children eligibility for height/weight and hemoglobin"
"hv120_42","children eligibility for height/weight and hemoglobin"
"hv120_43","children eligibility for height/weight and hemoglobin"
"hv120_44","children eligibility for height/weight and hemoglobin"
"hv120_45","children eligibility for height/weight and hemoglobin"
"hv120_46","children eligibility for height/weight and hemoglobin"
"hv120_47","children eligibility for height/weight and hemoglobin"
"hv120_48","children eligibility for height/weight and hemoglobin"
"hv120_49","children eligibility for height/weight and hemoglobin"
"hv120_50","children eligibility for height/weight and hemoglobin"
"hv120_51","children eligibility for height/weight and hemoglobin"
"hv120_52","children eligibility for height/weight and hemoglobin"
"hv120_53","children eligibility for height/weight and hemoglobin"
"hv120_54","children eligibility for height/weight and hemoglobin"
"hv120_55","children eligibility for height/weight and hemoglobin"
"hv120_56","children eligibility for height/weight and hemoglobin"
"hv120_57","children eligibility for height/weight and hemoglobin"
"hv120_58","children eligibility for height/weight and hemoglobin"
"hv120_59","children eligibility for height/weight and hemoglobin"
"hv120_60","children eligibility for height/weight and hemoglobin"
"hv120_61","children eligibility for height/weight and hemoglobin"
"hv120_62","children eligibility for height/weight and hemoglobin"
"hv120_63","children eligibility for height/weight and hemoglobin"
"hv120_64","children eligibility for height/weight and hemoglobin"
"hv120_65","children eligibility for height/weight and hemoglobin"
"hv120_66","children eligibility for height/weight and hemoglobin"
"hv120_67","children eligibility for height/weight and hemoglobin"
"hv120_68","children eligibility for height/weight and hemoglobin"
"hv120_69","children eligibility for height/weight and hemoglobin"
"hv120_70","children eligibility for height/weight and hemoglobin"
"hv120_71","children eligibility for height/weight and hemoglobin"
"hv120_72","children eligibility for height/weight and hemoglobin"
"hv120_73","children eligibility for height/weight and hemoglobin"
"hv120_74","children eligibility for height/weight and hemoglobin"
"hv120_75","children eligibility for height/weight and hemoglobin"
"hv120_76","children eligibility for height/weight and hemoglobin"
"hv120_77","children eligibility for height/weight and hemoglobin"
"hv120_78","children eligibility for height/weight and hemoglobin"
"hv120_79","children eligibility for height/weight and hemoglobin"
"hv120_80","children eligibility for height/weight and hemoglobin"
"hv120_81","children eligibility for height/weight and hemoglobin"
"hv120_82","children eligibility for height/weight and hemoglobin"
"hv120_83","children eligibility for height/weight and hemoglobin"
"hv120_84","children eligibility for height/weight and hemoglobin"
"hv120_85","children eligibility for height/weight and hemoglobin"
"hv120_86","children eligibility for height/weight and hemoglobin"
"hv120_87","children eligibility for height/weight and hemoglobin"
"hv120_88","children eligibility for height/weight and hemoglobin"
"hv120_89","children eligibility for height/weight and hemoglobin"
"hv120_90","children eligibility for height/weight and hemoglobin"
"hv121_01","member attended school during current school year"
"hv121_02","member attended school during current school year"
"hv121_03","member attended school during current school year"
"hv121_04","member attended school during current school year"
"hv121_05","member attended school during current school year"
"hv121_06","member attended school during current school year"
"hv121_07","member attended school during current school year"
"hv121_08","member attended school during current school year"
"hv121_09","member attended school during current school year"
"hv121_10","member attended school during current school year"
"hv121_11","member attended school during current school year"
"hv121_12","member attended school during current school year"
"hv121_13","member attended school during current school year"
"hv121_14","member attended school during current school year"
"hv121_15","member attended school during current school year"
"hv121_16","member attended school during current school year"
"hv121_17","member attended school during current school year"
"hv121_18","member attended school during current school year"
"hv121_19","member attended school during current school year"
"hv121_20","member attended school during current school year"
"hv121_21","member attended school during current school year"
"hv121_22","member attended school during current school year"
"hv121_23","member attended school during current school year"
"hv121_24","member attended school during current school year"
"hv121_25","member attended school during current school year"
"hv121_26","member attended school during current school year"
"hv121_27","member attended school during current school year"
"hv121_28","member attended school during current school year"
"hv121_29","member attended school during current school year"
"hv121_30","member attended school during current school year"
"hv121_31","member attended school during current school year"
"hv121_32","member attended school during current school year"
"hv121_33","member attended school during current school year"
"hv121_34","member attended school during current school year"
"hv121_35","member attended school during current school year"
"hv121_36","member attended school during current school year"
"hv121_37","member attended school during current school year"
"hv121_38","member attended school during current school year"
"hv121_39","member attended school during current school year"
"hv121_40","member attended school during current school year"
"hv121_41","member attended school during current school year"
"hv121_42","member attended school during current school year"
"hv121_43","member attended school during current school year"
"hv121_44","member attended school during current school year"
"hv121_45","member attended school during current school year"
"hv121_46","member attended school during current school year"
"hv121_47","member attended school during current school year"
"hv121_48","member attended school during current school year"
"hv121_49","member attended school during current school year"
"hv121_50","member attended school during current school year"
"hv121_51","member attended school during current school year"
"hv121_52","member attended school during current school year"
"hv121_53","member attended school during current school year"
"hv121_54","member attended school during current school year"
"hv121_55","member attended school during current school year"
"hv121_56","member attended school during current school year"
"hv121_57","member attended school during current school year"
"hv121_58","member attended school during current school year"
"hv121_59","member attended school during current school year"
"hv121_60","member attended school during current school year"
"hv121_61","member attended school during current school year"
"hv121_62","member attended school during current school year"
"hv121_63","member attended school during current school year"
"hv121_64","member attended school during current school year"
"hv121_65","member attended school during current school year"
"hv121_66","member attended school during current school year"
"hv121_67","member attended school during current school year"
"hv121_68","member attended school during current school year"
"hv121_69","member attended school during current school year"
"hv121_70","member attended school during current school year"
"hv121_71","member attended school during current school year"
"hv121_72","member attended school during current school year"
"hv121_73","member attended school during current school year"
"hv121_74","member attended school during current school year"
"hv121_75","member attended school during current school year"
"hv121_76","member attended school during current school year"
"hv121_77","member attended school during current school year"
"hv121_78","member attended school during current school year"
"hv121_79","member attended school during current school year"
"hv121_80","member attended school during current school year"
"hv121_81","member attended school during current school year"
"hv121_82","member attended school during current school year"
"hv121_83","member attended school during current school year"
"hv121_84","member attended school during current school year"
"hv121_85","member attended school during current school year"
"hv121_86","member attended school during current school year"
"hv121_87","member attended school during current school year"
"hv121_88","member attended school during current school year"
"hv121_89","member attended school during current school year"
"hv121_90","member attended school during current school year"
"hv122_01","educational level during current school year"
"hv122_02","educational level during current school year"
"hv122_03","educational level during current school year"
"hv122_04","educational level during current school year"
"hv122_05","educational level during current school year"
"hv122_06","educational level during current school year"
"hv122_07","educational level during current school year"
"hv122_08","educational level during current school year"
"hv122_09","educational level during current school year"
"hv122_10","educational level during current school year"
"hv122_11","educational level during current school year"
"hv122_12","educational level during current school year"
"hv122_13","educational level during current school year"
"hv122_14","educational level during current school year"
"hv122_15","educational level during current school year"
"hv122_16","educational level during current school year"
"hv122_17","educational level during current school year"
"hv122_18","educational level during current school year"
"hv122_19","educational level during current school year"
"hv122_20","educational level during current school year"
"hv122_21","educational level during current school year"
"hv122_22","educational level during current school year"
"hv122_23","educational level during current school year"
"hv122_24","educational level during current school year"
"hv122_25","educational level during current school year"
"hv122_26","educational level during current school year"
"hv122_27","educational level during current school year"
"hv122_28","educational level during current school year"
"hv122_29","educational level during current school year"
"hv122_30","educational level during current school year"
"hv122_31","educational level during current school year"
"hv122_32","educational level during current school year"
"hv122_33","educational level during current school year"
"hv122_34","educational level during current school year"
"hv122_35","educational level during current school year"
"hv122_36","educational level during current school year"
"hv122_37","educational level during current school year"
"hv122_38","educational level during current school year"
"hv122_39","educational level during current school year"
"hv122_40","educational level during current school year"
"hv122_41","educational level during current school year"
"hv122_42","educational level during current school year"
"hv122_43","educational level during current school year"
"hv122_44","educational level during current school year"
"hv122_45","educational level during current school year"
"hv122_46","educational level during current school year"
"hv122_47","educational level during current school year"
"hv122_48","educational level during current school year"
"hv122_49","educational level during current school year"
"hv122_50","educational level during current school year"
"hv122_51","educational level during current school year"
"hv122_52","educational level during current school year"
"hv122_53","educational level during current school year"
"hv122_54","educational level during current school year"
"hv122_55","educational level during current school year"
"hv122_56","educational level during current school year"
"hv122_57","educational level during current school year"
"hv122_58","educational level during current school year"
"hv122_59","educational level during current school year"
"hv122_60","educational level during current school year"
"hv122_61","educational level during current school year"
"hv122_62","educational level during current school year"
"hv122_63","educational level during current school year"
"hv122_64","educational level during current school year"
"hv122_65","educational level during current school year"
"hv122_66","educational level during current school year"
"hv122_67","educational level during current school year"
"hv122_68","educational level during current school year"
"hv122_69","educational level during current school year"
"hv122_70","educational level during current school year"
"hv122_71","educational level during current school year"
"hv122_72","educational level during current school year"
"hv122_73","educational level during current school year"
"hv122_74","educational level during current school year"
"hv122_75","educational level during current school year"
"hv122_76","educational level during current school year"
"hv122_77","educational level during current school year"
"hv122_78","educational level during current school year"
"hv122_79","educational level during current school year"
"hv122_80","educational level during current school year"
"hv122_81","educational level during current school year"
"hv122_82","educational level during current school year"
"hv122_83","educational level during current school year"
"hv122_84","educational level during current school year"
"hv122_85","educational level during current school year"
"hv122_86","educational level during current school year"
"hv122_87","educational level during current school year"
"hv122_88","educational level during current school year"
"hv122_89","educational level during current school year"
"hv122_90","educational level during current school year"
"hv123_01","grade of education during current school year"
"hv123_02","grade of education during current school year"
"hv123_03","grade of education during current school year"
"hv123_04","grade of education during current school year"
"hv123_05","grade of education during current school year"
"hv123_06","grade of education during current school year"
"hv123_07","grade of education during current school year"
"hv123_08","grade of education during current school year"
"hv123_09","grade of education during current school year"
"hv123_10","grade of education during current school year"
"hv123_11","grade of education during current school year"
"hv123_12","grade of education during current school year"
"hv123_13","grade of education during current school year"
"hv123_14","grade of education during current school year"
"hv123_15","grade of education during current school year"
"hv123_16","grade of education during current school year"
"hv123_17","grade of education during current school year"
"hv123_18","grade of education during current school year"
"hv123_19","grade of education during current school year"
"hv123_20","grade of education during current school year"
"hv123_21","grade of education during current school year"
"hv123_22","grade of education during current school year"
"hv123_23","grade of education during current school year"
"hv123_24","grade of education during current school year"
"hv123_25","grade of education during current school year"
"hv123_26","grade of education during current school year"
"hv123_27","grade of education during current school year"
"hv123_28","grade of education during current school year"
"hv123_29","grade of education during current school year"
"hv123_30","grade of education during current school year"
"hv123_31","grade of education during current school year"
"hv123_32","grade of education during current school year"
"hv123_33","grade of education during current school year"
"hv123_34","grade of education during current school year"
"hv123_35","grade of education during current school year"
"hv123_36","grade of education during current school year"
"hv123_37","grade of education during current school year"
"hv123_38","grade of education during current school year"
"hv123_39","grade of education during current school year"
"hv123_40","grade of education during current school year"
"hv123_41","grade of education during current school year"
"hv123_42","grade of education during current school year"
"hv123_43","grade of education during current school year"
"hv123_44","grade of education during current school year"
"hv123_45","grade of education during current school year"
"hv123_46","grade of education during current school year"
"hv123_47","grade of education during current school year"
"hv123_48","grade of education during current school year"
"hv123_49","grade of education during current school year"
"hv123_50","grade of education during current school year"
"hv123_51","grade of education during current school year"
"hv123_52","grade of education during current school year"
"hv123_53","grade of education during current school year"
"hv123_54","grade of education during current school year"
"hv123_55","grade of education during current school year"
"hv123_56","grade of education during current school year"
"hv123_57","grade of education during current school year"
"hv123_58","grade of education during current school year"
"hv123_59","grade of education during current school year"
"hv123_60","grade of education during current school year"
"hv123_61","grade of education during current school year"
"hv123_62","grade of education during current school year"
"hv123_63","grade of education during current school year"
"hv123_64","grade of education during current school year"
"hv123_65","grade of education during current school year"
"hv123_66","grade of education during current school year"
"hv123_67","grade of education during current school year"
"hv123_68","grade of education during current school year"
"hv123_69","grade of education during current school year"
"hv123_70","grade of education during current school year"
"hv123_71","grade of education during current school year"
"hv123_72","grade of education during current school year"
"hv123_73","grade of education during current school year"
"hv123_74","grade of education during current school year"
"hv123_75","grade of education during current school year"
"hv123_76","grade of education during current school year"
"hv123_77","grade of education during current school year"
"hv123_78","grade of education during current school year"
"hv123_79","grade of education during current school year"
"hv123_80","grade of education during current school year"
"hv123_81","grade of education during current school year"
"hv123_82","grade of education during current school year"
"hv123_83","grade of education during current school year"
"hv123_84","grade of education during current school year"
"hv123_85","grade of education during current school year"
"hv123_86","grade of education during current school year"
"hv123_87","grade of education during current school year"
"hv123_88","grade of education during current school year"
"hv123_89","grade of education during current school year"
"hv123_90","grade of education during current school year"
"hv124_01","education in single years - current school year"
"hv124_02","education in single years - current school year"
"hv124_03","education in single years - current school year"
"hv124_04","education in single years - current school year"
"hv124_05","education in single years - current school year"
"hv124_06","education in single years - current school year"
"hv124_07","education in single years - current school year"
"hv124_08","education in single years - current school year"
"hv124_09","education in single years - current school year"
"hv124_10","education in single years - current school year"
"hv124_11","education in single years - current school year"
"hv124_12","education in single years - current school year"
"hv124_13","education in single years - current school year"
"hv124_14","education in single years - current school year"
"hv124_15","education in single years - current school year"
"hv124_16","education in single years - current school year"
"hv124_17","education in single years - current school year"
"hv124_18","education in single years - current school year"
"hv124_19","education in single years - current school year"
"hv124_20","education in single years - current school year"
"hv124_21","education in single years - current school year"
"hv124_22","education in single years - current school year"
"hv124_23","education in single years - current school year"
"hv124_24","education in single years - current school year"
"hv124_25","education in single years - current school year"
"hv124_26","education in single years - current school year"
"hv124_27","education in single years - current school year"
"hv124_28","education in single years - current school year"
"hv124_29","education in single years - current school year"
"hv124_30","education in single years - current school year"
"hv124_31","education in single years - current school year"
"hv124_32","education in single years - current school year"
"hv124_33","education in single years - current school year"
"hv124_34","education in single years - current school year"
"hv124_35","education in single years - current school year"
"hv124_36","education in single years - current school year"
"hv124_37","education in single years - current school year"
"hv124_38","education in single years - current school year"
"hv124_39","education in single years - current school year"
"hv124_40","education in single years - current school year"
"hv124_41","education in single years - current school year"
"hv124_42","education in single years - current school year"
"hv124_43","education in single years - current school year"
"hv124_44","education in single years - current school year"
"hv124_45","education in single years - current school year"
"hv124_46","education in single years - current school year"
"hv124_47","education in single years - current school year"
"hv124_48","education in single years - current school year"
"hv124_49","education in single years - current school year"
"hv124_50","education in single years - current school year"
"hv124_51","education in single years - current school year"
"hv124_52","education in single years - current school year"
"hv124_53","education in single years - current school year"
"hv124_54","education in single years - current school year"
"hv124_55","education in single years - current school year"
"hv124_56","education in single years - current school year"
"hv124_57","education in single years - current school year"
"hv124_58","education in single years - current school year"
"hv124_59","education in single years - current school year"
"hv124_60","education in single years - current school year"
"hv124_61","education in single years - current school year"
"hv124_62","education in single years - current school year"
"hv124_63","education in single years - current school year"
"hv124_64","education in single years - current school year"
"hv124_65","education in single years - current school year"
"hv124_66","education in single years - current school year"
"hv124_67","education in single years - current school year"
"hv124_68","education in single years - current school year"
"hv124_69","education in single years - current school year"
"hv124_70","education in single years - current school year"
"hv124_71","education in single years - current school year"
"hv124_72","education in single years - current school year"
"hv124_73","education in single years - current school year"
"hv124_74","education in single years - current school year"
"hv124_75","education in single years - current school year"
"hv124_76","education in single years - current school year"
"hv124_77","education in single years - current school year"
"hv124_78","education in single years - current school year"
"hv124_79","education in single years - current school year"
"hv124_80","education in single years - current school year"
"hv124_81","education in single years - current school year"
"hv124_82","education in single years - current school year"
"hv124_83","education in single years - current school year"
"hv124_84","education in single years - current school year"
"hv124_85","education in single years - current school year"
"hv124_86","education in single years - current school year"
"hv124_87","education in single years - current school year"
"hv124_88","education in single years - current school year"
"hv124_89","education in single years - current school year"
"hv124_90","education in single years - current school year"
"hv125_01","na - member attended school during previous school year"
"hv125_02","na - member attended school during previous school year"
"hv125_03","na - member attended school during previous school year"
"hv125_04","na - member attended school during previous school year"
"hv125_05","na - member attended school during previous school year"
"hv125_06","na - member attended school during previous school year"
"hv125_07","na - member attended school during previous school year"
"hv125_08","na - member attended school during previous school year"
"hv125_09","na - member attended school during previous school year"
"hv125_10","na - member attended school during previous school year"
"hv125_11","na - member attended school during previous school year"
"hv125_12","na - member attended school during previous school year"
"hv125_13","na - member attended school during previous school year"
"hv125_14","na - member attended school during previous school year"
"hv125_15","na - member attended school during previous school year"
"hv125_16","na - member attended school during previous school year"
"hv125_17","na - member attended school during previous school year"
"hv125_18","na - member attended school during previous school year"
"hv125_19","na - member attended school during previous school year"
"hv125_20","na - member attended school during previous school year"
"hv125_21","na - member attended school during previous school year"
"hv125_22","na - member attended school during previous school year"
"hv125_23","na - member attended school during previous school year"
"hv125_24","na - member attended school during previous school year"
"hv125_25","na - member attended school during previous school year"
"hv125_26","na - member attended school during previous school year"
"hv125_27","na - member attended school during previous school year"
"hv125_28","na - member attended school during previous school year"
"hv125_29","na - member attended school during previous school year"
"hv125_30","na - member attended school during previous school year"
"hv125_31","na - member attended school during previous school year"
"hv125_32","na - member attended school during previous school year"
"hv125_33","na - member attended school during previous school year"
"hv125_34","na - member attended school during previous school year"
"hv125_35","na - member attended school during previous school year"
"hv125_36","na - member attended school during previous school year"
"hv125_37","na - member attended school during previous school year"
"hv125_38","na - member attended school during previous school year"
"hv125_39","na - member attended school during previous school year"
"hv125_40","na - member attended school during previous school year"
"hv125_41","na - member attended school during previous school year"
"hv125_42","na - member attended school during previous school year"
"hv125_43","na - member attended school during previous school year"
"hv125_44","na - member attended school during previous school year"
"hv125_45","na - member attended school during previous school year"
"hv125_46","na - member attended school during previous school year"
"hv125_47","na - member attended school during previous school year"
"hv125_48","na - member attended school during previous school year"
"hv125_49","na - member attended school during previous school year"
"hv125_50","na - member attended school during previous school year"
"hv125_51","na - member attended school during previous school year"
"hv125_52","na - member attended school during previous school year"
"hv125_53","na - member attended school during previous school year"
"hv125_54","na - member attended school during previous school year"
"hv125_55","na - member attended school during previous school year"
"hv125_56","na - member attended school during previous school year"
"hv125_57","na - member attended school during previous school year"
"hv125_58","na - member attended school during previous school year"
"hv125_59","na - member attended school during previous school year"
"hv125_60","na - member attended school during previous school year"
"hv125_61","na - member attended school during previous school year"
"hv125_62","na - member attended school during previous school year"
"hv125_63","na - member attended school during previous school year"
"hv125_64","na - member attended school during previous school year"
"hv125_65","na - member attended school during previous school year"
"hv125_66","na - member attended school during previous school year"
"hv125_67","na - member attended school during previous school year"
"hv125_68","na - member attended school during previous school year"
"hv125_69","na - member attended school during previous school year"
"hv125_70","na - member attended school during previous school year"
"hv125_71","na - member attended school during previous school year"
"hv125_72","na - member attended school during previous school year"
"hv125_73","na - member attended school during previous school year"
"hv125_74","na - member attended school during previous school year"
"hv125_75","na - member attended school during previous school year"
"hv125_76","na - member attended school during previous school year"
"hv125_77","na - member attended school during previous school year"
"hv125_78","na - member attended school during previous school year"
"hv125_79","na - member attended school during previous school year"
"hv125_80","na - member attended school during previous school year"
"hv125_81","na - member attended school during previous school year"
"hv125_82","na - member attended school during previous school year"
"hv125_83","na - member attended school during previous school year"
"hv125_84","na - member attended school during previous school year"
"hv125_85","na - member attended school during previous school year"
"hv125_86","na - member attended school during previous school year"
"hv125_87","na - member attended school during previous school year"
"hv125_88","na - member attended school during previous school year"
"hv125_89","na - member attended school during previous school year"
"hv125_90","na - member attended school during previous school year"
"hv126_01","na - educational level during previous school year"
"hv126_02","na - educational level during previous school year"
"hv126_03","na - educational level during previous school year"
"hv126_04","na - educational level during previous school year"
"hv126_05","na - educational level during previous school year"
"hv126_06","na - educational level during previous school year"
"hv126_07","na - educational level during previous school year"
"hv126_08","na - educational level during previous school year"
"hv126_09","na - educational level during previous school year"
"hv126_10","na - educational level during previous school year"
"hv126_11","na - educational level during previous school year"
"hv126_12","na - educational level during previous school year"
"hv126_13","na - educational level during previous school year"
"hv126_14","na - educational level during previous school year"
"hv126_15","na - educational level during previous school year"
"hv126_16","na - educational level during previous school year"
"hv126_17","na - educational level during previous school year"
"hv126_18","na - educational level during previous school year"
"hv126_19","na - educational level during previous school year"
"hv126_20","na - educational level during previous school year"
"hv126_21","na - educational level during previous school year"
"hv126_22","na - educational level during previous school year"
"hv126_23","na - educational level during previous school year"
"hv126_24","na - educational level during previous school year"
"hv126_25","na - educational level during previous school year"
"hv126_26","na - educational level during previous school year"
"hv126_27","na - educational level during previous school year"
"hv126_28","na - educational level during previous school year"
"hv126_29","na - educational level during previous school year"
"hv126_30","na - educational level during previous school year"
"hv126_31","na - educational level during previous school year"
"hv126_32","na - educational level during previous school year"
"hv126_33","na - educational level during previous school year"
"hv126_34","na - educational level during previous school year"
"hv126_35","na - educational level during previous school year"
"hv126_36","na - educational level during previous school year"
"hv126_37","na - educational level during previous school year"
"hv126_38","na - educational level during previous school year"
"hv126_39","na - educational level during previous school year"
"hv126_40","na - educational level during previous school year"
"hv126_41","na - educational level during previous school year"
"hv126_42","na - educational level during previous school year"
"hv126_43","na - educational level during previous school year"
"hv126_44","na - educational level during previous school year"
"hv126_45","na - educational level during previous school year"
"hv126_46","na - educational level during previous school year"
"hv126_47","na - educational level during previous school year"
"hv126_48","na - educational level during previous school year"
"hv126_49","na - educational level during previous school year"
"hv126_50","na - educational level during previous school year"
"hv126_51","na - educational level during previous school year"
"hv126_52","na - educational level during previous school year"
"hv126_53","na - educational level during previous school year"
"hv126_54","na - educational level during previous school year"
"hv126_55","na - educational level during previous school year"
"hv126_56","na - educational level during previous school year"
"hv126_57","na - educational level during previous school year"
"hv126_58","na - educational level during previous school year"
"hv126_59","na - educational level during previous school year"
"hv126_60","na - educational level during previous school year"
"hv126_61","na - educational level during previous school year"
"hv126_62","na - educational level during previous school year"
"hv126_63","na - educational level during previous school year"
"hv126_64","na - educational level during previous school year"
"hv126_65","na - educational level during previous school year"
"hv126_66","na - educational level during previous school year"
"hv126_67","na - educational level during previous school year"
"hv126_68","na - educational level during previous school year"
"hv126_69","na - educational level during previous school year"
"hv126_70","na - educational level during previous school year"
"hv126_71","na - educational level during previous school year"
"hv126_72","na - educational level during previous school year"
"hv126_73","na - educational level during previous school year"
"hv126_74","na - educational level during previous school year"
"hv126_75","na - educational level during previous school year"
"hv126_76","na - educational level during previous school year"
"hv126_77","na - educational level during previous school year"
"hv126_78","na - educational level during previous school year"
"hv126_79","na - educational level during previous school year"
"hv126_80","na - educational level during previous school year"
"hv126_81","na - educational level during previous school year"
"hv126_82","na - educational level during previous school year"
"hv126_83","na - educational level during previous school year"
"hv126_84","na - educational level during previous school year"
"hv126_85","na - educational level during previous school year"
"hv126_86","na - educational level during previous school year"
"hv126_87","na - educational level during previous school year"
"hv126_88","na - educational level during previous school year"
"hv126_89","na - educational level during previous school year"
"hv126_90","na - educational level during previous school year"
"hv127_01","na - grade of education during previous school year"
"hv127_02","na - grade of education during previous school year"
"hv127_03","na - grade of education during previous school year"
"hv127_04","na - grade of education during previous school year"
"hv127_05","na - grade of education during previous school year"
"hv127_06","na - grade of education during previous school year"
"hv127_07","na - grade of education during previous school year"
"hv127_08","na - grade of education during previous school year"
"hv127_09","na - grade of education during previous school year"
"hv127_10","na - grade of education during previous school year"
"hv127_11","na - grade of education during previous school year"
"hv127_12","na - grade of education during previous school year"
"hv127_13","na - grade of education during previous school year"
"hv127_14","na - grade of education during previous school year"
